"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"30 Nov 2018","FUTCOM","CRUDEOILM    ","18DEC2018","-","0.00","3624.00","3633.00","3482.00","3576.00","3634.00","449281","4492.810 BBL  ","159776.54","33118"
"29 Nov 2018","FUTCOM","CRUDEOILM    ","18DEC2018","-","0.00","3614.00","3647.00","3454.00","3634.00","3634.00","456657","4566.570 BBL  ","162720.59","30679"
"28 Nov 2018","FUTCOM","CRUDEOILM    ","18DEC2018","-","0.00","3655.00","3723.00","3590.00","3634.00","3628.00","430587","4305.870 BBL  ","157261.29","34321"
"27 Nov 2018","FUTCOM","CRUDEOILM    ","18DEC2018","-","0.00","3650.00","3726.00","3583.00","3628.00","3677.00","403763","4037.630 BBL  ","147725.34","32871"
"26 Nov 2018","FUTCOM","CRUDEOILM    ","18DEC2018","-","0.00","3614.00","3711.00","3581.00","3677.00","3624.00","332149","3321.490 BBL  ","121309.48","32756"
"23 Nov 2018","FUTCOM","CRUDEOILM    ","18DEC2018","-","0.00","3808.00","3808.00","3575.00","3624.00","3823.00","293633","2936.330 BBL  ","106727.13","37614"
"22 Nov 2018","FUTCOM","CRUDEOILM    ","18DEC2018","-","0.00","3930.00","3930.00","3811.00","3823.00","3950.00","286369","2863.690 BBL  ","110275.99","35557"
"21 Nov 2018","FUTCOM","CRUDEOILM    ","18DEC2018","-","0.00","3832.00","3987.00","3832.00","3950.00","3855.00","357582","3575.820 BBL  ","139641.31","30425"
"20 Nov 2018","FUTCOM","CRUDEOILM    ","18DEC2018","-","0.00","4060.00","4118.00","3827.00","3855.00","4071.00","416259","4162.590 BBL  ","166129.57","40642"
"19 Nov 2018","FUTCOM","CRUDEOILM    ","18DEC2018","-","0.00","4125.00","4153.00","3960.00","4071.00","4109.00","319184","3191.840 BBL  ","129588.83","28846"
"16 Nov 2018","FUTCOM","CRUDEOILM    ","16NOV2018","-","0.00","4110.00","4159.00","4010.00","4054.00","4070.00","273371","2733.710 BBL  ","112304.53","7343"
"15 Nov 2018","FUTCOM","CRUDEOILM    ","16NOV2018","-","0.00","4070.00","4122.00","4012.00","4070.00","4089.00","293574","2935.740 BBL  ","119381.20","15547"
"14 Nov 2018","FUTCOM","CRUDEOILM    ","16NOV2018","-","0.00","4050.00","4146.00","3974.00","4089.00","4105.00","395404","3954.040 BBL  ","160649.29","19150"
"13 Nov 2018","FUTCOM","CRUDEOILM    ","16NOV2018","-","0.00","4373.00","4373.00","4065.00","4105.00","4407.00","360452","3604.520 BBL  ","152368.23","31607"
"12 Nov 2018","FUTCOM","CRUDEOILM    ","16NOV2018","-","0.00","4370.00","4481.00","4370.00","4407.00","4363.00","258950","2589.500 BBL  ","114969.86","29068"
"09 Nov 2018","FUTCOM","CRUDEOILM    ","16NOV2018","-","0.00","4410.00","4423.00","4296.00","4363.00","4432.00","283198","2831.980 BBL  ","123380.03","33866"
"08 Nov 2018","FUTCOM","CRUDEOILM    ","16NOV2018","-","0.00","4540.00","4540.00","4404.00","4432.00","4557.00","167402","1674.020 BBL  ","74410.62","37571"
"07 Nov 2018","FUTCOM","CRUDEOILM    ","16NOV2018","-","0.00","4528.00","4576.00","4528.00","4557.00","4503.00","24210","242.100 BBL  ","11045.91","32520"
"06 Nov 2018","FUTCOM","CRUDEOILM    ","16NOV2018","-","0.00","4624.00","4624.00","4481.00","4503.00","4634.00","249046","2490.460 BBL  ","113738.95","35587"
"05 Nov 2018","FUTCOM","CRUDEOILM    ","16NOV2018","-","0.00","4590.00","4684.00","4565.00","4634.00","4608.00","227795","2277.950 BBL  ","105374.84","32228"
"02 Nov 2018","FUTCOM","CRUDEOILM    ","16NOV2018","-","0.00","4644.00","4665.00","4561.00","4608.00","4660.00","288448","2884.480 BBL  ","133086.00","37262"
"01 Nov 2018","FUTCOM","CRUDEOILM    ","16NOV2018","-","0.00","4875.00","4875.00","4629.00","4660.00","4893.00","335113","3351.130 BBL  ","158715.98","37826"
"31 Oct 2018","FUTCOM","CRUDEOILM    ","16NOV2018","-","0.00","4897.00","4962.00","4875.00","4893.00","4890.00","269898","2698.980 BBL  ","132713.04","22737"
"30 Oct 2018","FUTCOM","CRUDEOILM    ","16NOV2018","-","0.00","4956.00","4956.00","4818.00","4890.00","4956.00","276159","2761.590 BBL  ","135019.51","21495"
"29 Oct 2018","FUTCOM","CRUDEOILM    ","16NOV2018","-","0.00","4963.00","4980.00","4907.00","4956.00","4951.00","238238","2382.380 BBL  ","117813.26","19166"
"26 Oct 2018","FUTCOM","CRUDEOILM    ","16NOV2018","-","0.00","4928.00","4976.00","4869.00","4951.00","4947.00","251914","2519.140 BBL  ","123900.10","18825"
"25 Oct 2018","FUTCOM","CRUDEOILM    ","16NOV2018","-","0.00","4921.00","4968.00","4855.00","4947.00","4938.00","220507","2205.070 BBL  ","108491.38","19970"
"24 Oct 2018","FUTCOM","CRUDEOILM    ","16NOV2018","-","0.00","4889.00","4978.00","4854.00","4938.00","4889.00","297179","2971.790 BBL  ","146067.33","20673"
"23 Oct 2018","FUTCOM","CRUDEOILM    ","16NOV2018","-","0.00","5118.00","5128.00","4851.00","4889.00","5108.00","304778","3047.780 BBL  ","151966.00","31298"
"22 Oct 2018","FUTCOM","CRUDEOILM    ","16NOV2018","-","0.00","5115.00","5135.00","5054.00","5108.00","5116.00","201192","2011.920 BBL  ","102652.92","18651"
"19 Oct 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5048.00","5124.00","5034.00","5076.00","5076.00","176726","1767.260 BBL  ","89807.45","7810"
"18 Oct 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5108.00","5134.00","5043.00","5076.00","5134.00","157633","1576.330 BBL  ","80186.35","15884"
"17 Oct 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5290.00","5310.00","5119.00","5134.00","5281.00","272956","2729.560 BBL  ","142271.32","21485"
"16 Oct 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5285.00","5319.00","5215.00","5281.00","5273.00","244989","2449.890 BBL  ","128873.47","19702"
"15 Oct 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5261.00","5333.00","5233.00","5273.00","5242.00","262543","2625.430 BBL  ","138752.28","20339"
"12 Oct 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5256.00","5318.00","5212.00","5242.00","5256.00","256048","2560.480 BBL  ","134765.59","21904"
"11 Oct 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5423.00","5423.00","5251.00","5256.00","5455.00","296367","2963.670 BBL  ","157668.50","23727"
"10 Oct 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5550.00","5574.00","5415.00","5455.00","5572.00","248492","2484.920 BBL  ","136631.36","24101"
"09 Oct 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5515.00","5584.00","5488.00","5572.00","5494.00","235615","2356.150 BBL  ","130659.98","28193"
"08 Oct 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5519.00","5519.00","5424.00","5494.00","5547.00","221052","2210.520 BBL  ","120916.14","28123"
"05 Oct 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5505.00","5590.00","5466.00","5547.00","5487.00","305929","3059.290 BBL  ","169120.36","31625"
"04 Oct 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5639.00","5646.00","5465.00","5487.00","5647.00","268476","2684.760 BBL  ","149696.54","31569"
"03 Oct 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5476.00","5668.00","5458.00","5647.00","5501.00","312573","3125.730 BBL  ","173158.39","44259"
"01 Oct 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5355.00","5513.00","5325.00","5501.00","5336.00","259982","2599.820 BBL  ","140503.17","49020"
"28 Sep 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5252.00","5356.00","5221.00","5336.00","5238.00","244309","2443.090 BBL  ","129027.56","43731"
"27 Sep 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5240.00","5283.00","5212.00","5238.00","5213.00","219131","2191.310 BBL  ","115017.23","35913"
"26 Sep 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5260.00","5273.00","5200.00","5213.00","5272.00","204032","2040.320 BBL  ","106855.87","34425"
"25 Sep 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5272.00","5305.00","5241.00","5272.00","5272.00","225636","2256.360 BBL  ","119026.22","41790"
"24 Sep 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5152.00","5306.00","5152.00","5272.00","5147.00","282412","2824.120 BBL  ","148359.75","43424"
"21 Sep 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5058.00","5192.00","5056.00","5147.00","5062.00","331983","3319.830 BBL  ","170133.18","33510"
"20 Sep 2018","FUTCOM","CRUDEOILM    ","19OCT2018","-","0.00","5096.00","5136.00","5054.00","5062.00","5098.00","166271","1662.710 BBL  ","84658.27","28207"
"19 Sep 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","5068.00","5164.00","5061.00","5169.00","5055.00","226377","2263.770 BBL  ","115684.32","10721"
"18 Sep 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","5000.00","5118.00","4961.00","5055.00","4995.00","258554","2585.540 BBL  ","130678.57","17670"
"17 Sep 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","4992.00","5050.00","4966.00","4995.00","4951.00","230347","2303.470 BBL  ","115415.93","18859"
"14 Sep 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","4933.00","5024.00","4889.00","4951.00","4920.00","274167","2741.670 BBL  ","135621.99","20337"
"13 Sep 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","5060.00","5060.00","4904.00","4920.00","5085.00","167803","1678.030 BBL  ","83139.92","22001"
"12 Sep 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","5056.00","5139.00","5020.00","5085.00","5045.00","297729","2977.290 BBL  ","151060.96","29768"
"11 Sep 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","4920.00","5054.00","4892.00","5045.00","4917.00","250767","2507.670 BBL  ","124570.21","29766"
"10 Sep 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","4888.00","4969.00","4888.00","4917.00","4883.00","231927","2319.270 BBL  ","114493.62","21618"
"07 Sep 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","4885.00","4894.00","4809.00","4883.00","4883.00","230660","2306.600 BBL  ","112071.45","21254"
"06 Sep 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","4949.00","4972.00","4828.00","4883.00","4934.00","282840","2828.400 BBL  ","138940.52","24321"
"05 Sep 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","4985.00","4988.00","4924.00","4934.00","5012.00","265187","2651.870 BBL  ","131457.14","28962"
"04 Sep 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","4999.00","5114.00","4988.00","5012.00","5012.00","309539","3095.390 BBL  ","156090.67","33519"
"03 Sep 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","4952.00","5029.00","4926.00","5012.00","4959.00","162848","1628.480 BBL  ","81042.86","37567"
"31 Aug 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","4991.00","5000.00","4946.00","4959.00","4997.00","190098","1900.980 BBL  ","94479.48","33494"
"30 Aug 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","4925.00","5012.00","4920.00","4997.00","4925.00","196985","1969.850 BBL  ","97782.42","39763"
"29 Aug 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","4822.00","4935.00","4822.00","4925.00","4808.00","237481","2374.810 BBL  ","115931.98","35014"
"28 Aug 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","4835.00","4864.00","4796.00","4808.00","4826.00","202519","2025.190 BBL  ","97896.43","25616"
"27 Aug 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","4803.00","4842.00","4797.00","4826.00","4805.00","173120","1731.200 BBL  ","83425.55","28204"
"24 Aug 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","4785.00","4856.00","4780.00","4805.00","4775.00","178880","1788.800 BBL  ","86248.58","25671"
"23 Aug 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","4764.00","4788.00","4735.00","4775.00","4763.00","187036","1870.360 BBL  ","89084.91","22089"
"22 Aug 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","4624.00","4770.00","4624.00","4763.00","4620.00","187174","1871.740 BBL  ","88461.85","22096"
"21 Aug 2018","FUTCOM","CRUDEOILM    ","19SEP2018","-","0.00","4584.00","4664.00","4564.00","4620.00","4582.00","203114","2031.140 BBL  ","93793.13","13963"
"20 Aug 2018","FUTCOM","CRUDEOILM    ","20AUG2018","-","0.00","4614.00","4643.00","4480.00","4634.00","4597.00","177322","1773.220 BBL  ","81663.09","4839"
"17 Aug 2018","FUTCOM","CRUDEOILM    ","20AUG2018","-","0.00","4582.00","4666.00","4580.00","4597.00","4584.00","207602","2076.020 BBL  ","95802.14","9332"
"16 Aug 2018","FUTCOM","CRUDEOILM    ","20AUG2018","-","0.00","4681.00","4681.00","4536.00","4584.00","4712.00","210492","2104.920 BBL  ","96279.30","12246"
"14 Aug 2018","FUTCOM","CRUDEOILM    ","20AUG2018","-","0.00","4659.00","4782.00","4659.00","4712.00","4642.00","266627","2666.270 BBL  ","126142.25","13632"
"13 Aug 2018","FUTCOM","CRUDEOILM    ","20AUG2018","-","0.00","4680.00","4736.00","4612.00","4642.00","4674.00","265635","2656.350 BBL  ","124443.93","13657"
"10 Aug 2018","FUTCOM","CRUDEOILM    ","20AUG2018","-","0.00","4594.00","4679.00","4564.00","4674.00","4603.00","209649","2096.490 BBL  ","97084.73","15486"
